"video_id","source_id","source_name","original_name","local_path","cloud_url","species","fps","frame_count","width","height","duration_sec","file_size_bytes","status"
"V_0001","329290","pixabay_snow_leopard_329290","pixabay_raccoon_329290.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_raccoon_329290.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891510/kfssxgsewh1oirulztux.mp4","snow leopard","30.0","422","1280","720","14.066666666666666","1507223","Extracted"
"V_0002","88047","pixabay_eagle_88047","pixabay_bald_eagle_88047.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_bald_eagle_88047.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891292/xkgwvyuetagwe3kj3x1e.mp4","eagle","25.0","750","1280","720","30.0","6489379","Extracted"
"V_0003","127736","pixabay_baboon_127736","pixabay_baboon_127736.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_baboon_127736.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891188/hncdnj4z3yvu47hs7qns.mp4","baboon","29.97002997002997","791","1280","720","26.393033333333335","9989588","Extracted"
"V_0004","165185","pixabay_eagle_165185","pixabay_bald_eagle_165185.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_bald_eagle_165185.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891292/vjqcsg9rzmtnvftmalko.mp4","eagle","50.0","560","1280","720","11.2","3023477","Extracted"
"V_0005","54258","pixabay_bald_eagle_54258","pixabay_bald_eagle_54258.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_bald_eagle_54258.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891194/zmtmhnzh9lmb2oehzato.mp4","bald eagle","29.97002997002997","532","1280","720","17.751066666666667","6442132","Extracted"
"V_0006","207829","pixabay_baboon_207829","pixabay_baboon_207829.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_baboon_207829.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891191/we4aapjq0ar8yqzhuakv.mp4","baboon","23.976023976023978","744","1280","720","31.031","6595380","Extracted"
"V_0007","98577","pixabay_eagle_98577","pixabay_bald_eagle_98577.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/pixabay_bald_eagle_98577.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773891293/cogthuslma5xi6ncxzpm.mp4","eagle","25.0","923","1280","720","36.92","7184462","Extracted"
"V_0008","29960562","lion_29960562","lion_29960562.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_29960562.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890685/wdkhawuxx8njsjxmoxvm.mp4","lion","59.94005994005994","891","1280","720","14.86485","9773570","Extracted"
"V_0009","30294981","lion_30294981","lion_30294981.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_30294981.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890692/vwcmsx0u9iatirpkeabs.mp4","lion","59.94005994005994","660","1280","720","11.011000000000001","4509876","Extracted"
"V_0010","31385059","lion_31385059","lion_31385059.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_31385059.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890689/gzpccmueqsgmykcb64aa.mp4","lion","30.0","400","1280","720","13.333333333333334","8025689","Extracted"
"V_0011","30088597","lion_30088597","lion_30088597.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_30088597.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890687/ldcixgzif0jycicjyunc.mp4","lion","59.94005994005994","975","1280","720","16.26625","13764175","Extracted"
"V_0012","8153196","lion_8153196","lion_8153196.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_8153196.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890697/fdcnzv6ylfqldrcis6es.mp4","lion","25.0","571","1280","720","22.84","8788959","Extracted"
"V_0013","5446310","lion_5446310","lion_5446310.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_5446310.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890694/tgsb6azwarntuy1c34xr.mp4","lion","29.97002997002997","605","1280","720","20.186833333333333","7816259","Extracted"
"V_0014","32420379","lion_32420379","lion_32420379.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/lion_32420379.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890692/gllqxxswbcbn9gv00ral.mp4","lion","25.0","999","1280","720","39.96","12549207","Extracted"
"V_0015","9983862","elephant_9983862","elephant_9983862.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/elephant_9983862.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890564/ki391sktrn5tzhgxdbuh.mp4","elephant","25.0","442","1280","720","17.68","2676385","Extracted"
"V_0016","3842819","elephant_3842819","elephant_3842819.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/elephant_3842819.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890562/bf6tcnloafsfbo0l3rr2.mp4","elephant","29.97002997002997","480","1280","720","16.016000000000002","5490512","Extracted"
"V_0017","33158570","elephant_33158570","elephant_33158570.mp4","/content/drive/MyDrive/csdl_dpt_data/raw_videos/elephant_33158570.mp4","https://res.cloudinary.com/dqfutdhge/video/upload/v1773890561/avwqzvwrbixtbz7hr7mu.mp4","elephant","30.0","1424","1280","720","47.46666666666667","12927896","Extracted"
